id,label_0,label_1,label_2,label_3,label_4
82,4.194181e-08,1.4726567e-10,0.9998661,4.669746e-08,0.00013383041
177,8.851663e-18,6.053459e-09,3.2774253e-10,2.8302926e-12,1.0
278,1.635816e-06,6.67637e-05,3.1762628e-14,0.9999316,5.4321856e-14
221,0.00059952337,0.98711455,2.6739797e-06,3.248676e-05,0.012250793
222,9.6968544e-29,2.9594206e-11,0.0,1.0,1.4394896e-37
149,1.06280915e-07,0.9999659,1.206214e-12,4.4317173e-07,3.352975e-05
163,0.000103772756,0.9998869,1.1044317e-10,6.601588e-06,2.7335007e-06
106,1.0240754e-07,3.652012e-11,0.99999,2.638323e-08,9.949173e-06
136,4.3098713e-05,0.99987864,8.646887e-10,1.2599428e-06,7.690998e-05
10,0.9999689,3.106803e-05,2.337977e-12,6.2730834e-09,3.9117837e-16
227,2.559965e-09,0.00046391538,4.4789438e-15,0.99953616,2.064243e-11
191,3.0139177e-15,1.4894268e-08,1.665797e-07,3.6908937e-10,0.9999999
41,0.99999774,1.7449491e-07,2.1028573e-06,4.7848846e-11,2.1739871e-12
50,0.99998856,1.148455e-05,3.1849193e-10,1.9783147e-11,6.144269e-14
57,0.9964089,0.003591066,3.6828884e-11,1.4451382e-09,1.804803e-12
181,1.7260401e-11,1.3215086e-06,1.5726784e-05,5.523358e-08,0.99998283
107,1.4722791e-08,4.658285e-13,0.99999964,2.6898313e-08,3.0220374e-07
15,0.9999987,6.608427e-07,6.0632095e-07,6.6003016e-09,1.2748793e-12
203,3.8326136e-15,8.6014944e-07,3.76114e-10,6.764153e-12,0.99999917
214,2.5630513e-08,0.00017321813,0.00014157513,1.340676e-06,0.99968386
109,2.828787e-08,1.0699252e-15,1.0,3.080846e-11,4.5802342e-10
226,2.8328594e-07,1.903483e-09,0.0,0.99999976,0.0
91,2.7711738e-07,5.8155344e-14,0.99999976,1.8031295e-10,4.6334305e-09
139,4.3098713e-05,0.99987864,8.646887e-10,1.2599428e-06,7.690998e-05
269,1.675251e-33,6.2788107e-16,0.0,1.0,1.041193e-39
166,6.349752e-05,0.9998647,4.4147605e-14,7.177872e-05,7.0518213e-10
232,2.6889847e-20,8.351288e-11,9.75388e-28,1.0,6.5243785e-22
176,7.291868e-12,1.5159989e-06,3.2158189e-06,1.092805e-08,0.99999523
73,0.9999993,3.4380938e-07,3.695053e-07,1.3740208e-10,7.344573e-13
100,4.7179736e-09,4.4861533e-15,1.0,2.2626713e-10,8.605062e-09
43,0.9999993,6.8611706e-07,7.501566e-10,3.4806396e-12,8.764077e-15
3,0.9999988,1.1705706e-06,5.437621e-10,4.75477e-10,4.5489273e-15
235,7.6938636e-07,0.0048499336,9.398603e-13,0.99514943,3.61595e-10
133,4.3098713e-05,0.99987864,8.646887e-10,1.2599428e-06,7.690998e-05
117,2.6674255e-05,3.3063778e-13,0.9999733,3.7486456e-10,5.01431e-10
265,4.367624e-12,8.180402e-07,4.8862675e-15,0.99999917,5.289323e-12
258,3.1498235e-08,4.55417e-05,1.1097495e-14,0.99995446,4.3591457e-13
38,1.0,9.773989e-10,5.450332e-08,2.2236165e-12,3.8878648e-16
52,0.9962184,0.003763579,1.5578695e-10,1.7988974e-05,1.2261358e-12
24,0.9999999,6.220984e-08,1.7253828e-10,4.415035e-11,9.354145e-17
242,6.90043e-05,0.00040207783,8.564713e-21,0.999529,2.0444262e-21
244,0.040398695,0.012174971,1.5122023e-07,0.9474262,1.0365801e-08
19,0.99998546,1.45953045e-05,2.9175091e-09,5.5823413e-09,2.31082e-13
190,2.0975573e-20,7.371324e-10,2.6872831e-12,3.3444896e-14,1.0
115,3.573952e-05,6.114367e-14,0.99996424,9.7717154e-11,6.799388e-11
17,0.99999964,3.2972204e-07,2.0597293e-10,2.4606012e-11,7.2939717e-16
78,0.99900395,1.936406e-07,0.0009958767,1.3308582e-09,3.5180994e-10
154,1.06280915e-07,0.9999659,1.206214e-12,4.4317173e-07,3.352975e-05
137,4.3098713e-05,0.99987864,8.646887e-10,1.2599428e-06,7.690998e-05
261,3.066655e-13,4.1606993e-09,2.614105e-16,1.0,7.822998e-15
202,2.2678333e-14,6.082672e-08,2.6327476e-07,8.7880725e-10,0.99999964
216,7.8740253e-13,7.123372e-07,9.5009966e-07,7.281395e-09,0.99999833
9,0.99999785,2.1696758e-06,3.4684375e-10,3.2692646e-10,6.2319822e-15
204,1.1361427e-12,2.1092662e-06,1.5368065e-07,8.8411334e-10,0.99999774
103,2.3652256e-09,9.637951e-16,1.0,1.1140504e-10,2.9712162e-09
35,1.0,1.5052508e-09,1.8435264e-09,6.655608e-12,2.220932e-17
