id,Predicted_Label
161,1
417,4
528,4
13,3
286,0
464,4
401,4
74,3
328,0
447,4
280,3
235,2
419,4
182,1
116,1
224,3
474,4
534,4
404,4
50,3
290,0
245,2
500,4
109,1
1,0
2,0
450,4
66,3
476,4
9,3
32,3
287,2
212,2
15,3
509,4
388,4
186,2
227,0
91,0
314,0
256,2
154,1
357,0
512,4
261,2
510,4
395,4
277,2
169,1
18,3
198,1
486,4
407,4
143,1
403,4
358,0
209,1
119,1
495,4
393,4
515,4
88,3
463,4
145,1
21,3
497,4
70,2
60,3
92,3
223,2
175,1
456,4
123,3
370,0
362,0
348,0
59,3
28,3
68,0
492,4
196,1
360,0
364,0
267,3
389,4
163,0
321,0
307,0
270,2
330,0
211,2
337,0
26,1
327,0
197,1
131,1
57,3
355,0
498,4
378,0
251,3
316,0
216,1
536,4
449,4
308,0
102,4
146,1
